InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
110225,SKU_3480,Tea Set,Kitchen,1,2025-01-01,140.32,CUST_1270,Netherlands
110225,SKU_9463,Cushion,Home,3,2025-01-01,95.21,CUST_1270,Netherlands
110225,SKU_8306,Lamp,Home,5,2025-01-01,68.92,CUST_1270,Netherlands
110225,SKU_1275,Wireless Mouse,Electronics,4,2025-01-01,131.39,CUST_1270,Netherlands
104149,SKU_4099,Cutting Board,Kitchen,3,2025-01-01,24.71,CUST_0505,United Kingdom
104149,SKU_3388,Rug,Home,3,2025-01-01,32.81,CUST_0505,United Kingdom
104149,SKU_6753,Bluetooth Speaker,Electronics,2,2025-01-01,72.57,CUST_0505,United Kingdom
107838,SKU_8744,Charger,Electronics,5,2025-01-01,84.28,CUST_0975,Sweden
107838,SKU_3704,Pen Set,Books,5,2025-01-01,68.58,CUST_0975,Sweden
112464,SKU_9036,Vase,Home,5,2025-01-01,19.16,CUST_1535,Netherlands
112464,SKU_3746,Monitor Arm,Electronics,1,2025-01-01,22.43,CUST_1535,Netherlands
112464,SKU_6873,Hoodie,Clothing,4,2025-01-01,107.78,CUST_1535,Netherlands
113932,SKU_9531,Laptop Stand,Electronics,3,2025-01-01,42.94,CUST_1702,United Kingdom
113932,SKU_2617,Pen Set,Books,5,2025-01-01,66.9,CUST_1702,United Kingdom
113932,SKU_5211,Mug,Kitchen,3,2025-01-01,52.47,CUST_1702,United Kingdom
107029,SKU_9457,Sneakers,Clothing,4,2025-01-01,42.18,CUST_0880,United Kingdom
106133,SKU_4573,Wireless Mouse,Electronics,4,2025-01-01,127.27,CUST_0770,Norway
106133,SKU_7723,USB-C Hub,Electronics,1,2025-01-01,176.68,CUST_0770,Norway
113341,SKU_5331,USB-C Hub,Electronics,1,2025-01-01,153.99,CUST_1636,United Kingdom
105377,SKU_7520,Charger,Electronics,3,2025-01-01,47.78,CUST_0670,Sweden
102151,SKU_7562,Cushion,Home,2,2025-01-01,71.89,CUST_0259,United Kingdom
106410,SKU_5170,T-Shirt,Clothing,3,2025-01-01,8.87,CUST_0806,United Kingdom
106811,SKU_5928,Bluetooth Speaker,Electronics,2,2025-01-01,195.28,CUST_0857,United Kingdom
106811,SKU_3835,Headphones,Electronics,2,2025-01-01,26.78,CUST_0857,United Kingdom
115915,SKU_9202,Calendar,Books,3,2025-01-01,15.55,CUST_1956,Italy
112038,SKU_3053,Candle Set,Home,4,2025-01-01,37.04,CUST_1491,United Kingdom
115915,SKU_2477,Cutting Board,Kitchen,3,2025-01-01,35.34,CUST_1956,Italy
102116,SKU_8457,Cap,Clothing,1,2025-01-01,22.9,CUST_0257,Spain
105175,SKU_3024,Rug,Home,2,2025-01-01,83.5,CUST_0635,United Kingdom
112038,SKU_5955,Tea Set,Kitchen,5,2025-01-01,79.93,CUST_1491,United Kingdom
115470,SKU_9315,Cushion,Home,1,2025-01-01,33.19,CUST_1891,United Kingdom
105175,SKU_1020,Notebook,Books,3,2025-01-01,24.57,CUST_0635,United Kingdom
115470,SKU_4690,Cutting Board,Kitchen,3,2025-01-01,16.5,CUST_1891,United Kingdom
112197,SKU_5143,Calendar,Books,1,2025-01-01,6.79,CUST_1506,United Kingdom
101005,SKU_8529,Keyboard,Electronics,3,2025-01-01,40.15,CUST_0118,United Kingdom
112197,SKU_2592,Monitor Arm,Electronics,3,2025-01-01,11.1,CUST_1506,United Kingdom
105618,SKU_3877,USB-C Hub,Electronics,5,2025-01-01,71.69,CUST_0701,Other
105618,SKU_9998,Hoodie,Clothing,4,2025-01-01,61.33,CUST_0701,Other
105618,SKU_6405,Notebook,Books,4,2025-01-01,8.66,CUST_0701,Other
104549,SKU_6755,Clock,Home,3,2025-01-01,31.1,CUST_0548,Germany
105618,SKU_2920,Rug,Home,3,2025-01-01,26.8,CUST_0701,Other
105618,SKU_7652,Rug,Home,3,2025-01-01,29.86,CUST_0701,Other
112038,SKU_1103,Phone Case,Electronics,4,2025-01-01,64.65,CUST_1491,United Kingdom
112038,SKU_5326,T-Shirt,Clothing,4,2025-01-01,8.62,CUST_1491,United Kingdom
108275,SKU_8834,Vase,Home,5,2025-01-01,9.94,CUST_1040,France
108275,SKU_4620,Webcam,Electronics,1,2025-01-01,15.04,CUST_1040,France
112017,SKU_7306,Laptop Stand,Electronics,1,2025-01-01,33.02,CUST_1486,Sweden
108275,SKU_9786,Notebook,Books,3,2025-01-01,9.61,CUST_1040,France
108275,SKU_9513,T-Shirt,Clothing,5,2025-01-01,6.15,CUST_1040,France
105618,SKU_6002,Cushion,Home,3,2025-01-01,42.34,CUST_0701,Other
101005,SKU_8261,Keyboard,Electronics,4,2025-01-01,47.92,CUST_0118,United Kingdom
115915,SKU_1298,USB-C Hub,Electronics,5,2025-01-01,166.97,CUST_1956,Italy
114905,SKU_5099,Spatula Set,Kitchen,2,2025-01-01,69.98,CUST_1829,United Kingdom
113039,SKU_7706,Candle Set,Home,2,2025-01-01,57.47,CUST_1597,Portugal
104549,SKU_7587,Cap,Clothing,4,2025-01-01,10.94,CUST_0548,Germany
104549,SKU_1670,Phone Case,Electronics,1,2025-01-01,26.01,CUST_0548,Germany
108302,SKU_1961,Wireless Mouse,Electronics,4,2025-01-01,76.72,CUST_1044,United Kingdom
101005,SKU_2922,Rug,Home,1,2025-01-01,20.85,CUST_0118,United Kingdom
101005,SKU_2128,Hoodie,Clothing,5,2025-01-01,79.3,CUST_0118,United Kingdom
106931,SKU_1910,Sneakers,Clothing,5,2025-01-01,37.01,CUST_0870,United Kingdom
101754,SKU_7028,Rug,Home,3,2025-01-01,31.29,CUST_0211,Sweden
101754,SKU_1091,Jeans,Clothing,2,2025-01-01,87.82,CUST_0211,Sweden
113341,SKU_4531,Vase,Home,2,2025-01-01,26.47,CUST_1636,United Kingdom
103926,SKU_1077,Clock,Home,1,2025-01-01,33.02,CUST_0476,Portugal
103926,SKU_4292,Headphones,Electronics,2,2025-01-01,4.99,CUST_0476,Portugal
113341,SKU_2715,Calendar,Books,1,2025-01-01,23.57,CUST_1636,United Kingdom
114905,SKU_9235,Wireless Mouse,Electronics,4,2025-01-01,99.39,CUST_1829,United Kingdom
114905,SKU_2299,Phone Case,Electronics,1,2025-01-01,68.1,CUST_1829,United Kingdom
115674,SKU_7409,Stickers,Books,4,2025-01-01,58.21,CUST_1920,United Kingdom
106514,SKU_8535,Monitor Arm,Electronics,5,2025-01-01,9.91,CUST_0819,France
101987,SKU_1984,Charger,Electronics,2,2025-01-01,52.81,CUST_0247,United Kingdom
101005,SKU_8574,Cushion,Home,1,2025-01-01,37.23,CUST_0118,United Kingdom
112632,SKU_6814,Lamp,Home,4,2025-01-01,41.61,CUST_1552,Other
114023,SKU_9239,Mug,Kitchen,1,2025-01-01,46.3,CUST_1711,Italy
101987,SKU_1441,Apron,Kitchen,3,2025-01-01,40.52,CUST_0247,United Kingdom
114023,SKU_9550,Hoodie,Clothing,3,2025-01-01,87.2,CUST_1711,Italy
114905,SKU_6651,Cutting Board,Kitchen,1,2025-01-01,30.14,CUST_1829,United Kingdom
114023,SKU_8675,Apron,Kitchen,2,2025-01-01,46.26,CUST_1711,Italy
101005,SKU_3841,Candle Set,Home,5,2025-01-01,31.22,CUST_0118,United Kingdom
112632,SKU_4238,Sneakers,Clothing,5,2025-01-01,30.11,CUST_1552,Other
107577,SKU_1826,Cushion,Home,4,2025-01-02,36.72,CUST_0942,United Kingdom
104449,SKU_9509,Clock,Home,3,2025-01-02,114.05,CUST_0541,Netherlands
115523,SKU_9080,Candle Set,Home,2,2025-01-02,24.61,CUST_1897,Norway
115523,SKU_7676,Pen Set,Books,5,2025-01-02,42.07,CUST_1897,Norway
110854,SKU_5034,Bluetooth Speaker,Electronics,2,2025-01-02,92.6,CUST_1348,United Kingdom
115523,SKU_6202,Cap,Clothing,3,2025-01-02,15.96,CUST_1897,Norway
115523,SKU_3999,Notebook,Books,2,2025-01-02,6.12,CUST_1897,Norway
110828,SKU_6570,Hoodie,Clothing,5,2025-01-02,66.82,CUST_1343,United Kingdom
104449,SKU_1786,Cap,Clothing,2,2025-01-02,34.68,CUST_0541,Netherlands
110828,SKU_3531,USB-C Hub,Electronics,1,2025-01-02,67.18,CUST_1343,United Kingdom
110426,SKU_8888,Notebook,Books,4,2025-01-02,11.66,CUST_1297,United Kingdom
110426,SKU_6747,Sketchbook,Books,3,2025-01-02,29.47,CUST_1297,United Kingdom
106098,SKU_4246,Jeans,Clothing,1,2025-01-02,64.44,CUST_0766,United Kingdom
115523,SKU_4938,Pen Set,Books,2,2025-01-02,43.64,CUST_1897,Norway
113537,SKU_9284,Tea Set,Kitchen,2,2025-01-02,41.7,CUST_1658,United Kingdom
110828,SKU_4143,T-Shirt,Clothing,3,2025-01-02,5.78,CUST_1343,United Kingdom
108741,SKU_1714,Candle Set,Home,4,2025-01-02,28.07,CUST_1097,Germany
110828,SKU_5245,Pen Set,Books,2,2025-01-02,49.6,CUST_1343,United Kingdom
110828,SKU_1203,Laptop Stand,Electronics,5,2025-01-02,31.57,CUST_1343,United Kingdom
104449,SKU_5477,Bluetooth Speaker,Electronics,1,2025-01-02,156.41,CUST_0541,Netherlands
108741,SKU_5105,Apron,Kitchen,4,2025-01-02,33.09,CUST_1097,Germany
110519,SKU_9113,Tea Set,Kitchen,3,2025-01-02,186.7,CUST_1306,France
112314,SKU_6401,Sketchbook,Books,2,2025-01-02,20.31,CUST_1519,France
110519,SKU_9130,Wireless Mouse,Electronics,3,2025-01-02,157.67,CUST_1306,France
110519,SKU_1921,Spatula Set,Kitchen,4,2025-01-02,110.33,CUST_1306,France
103150,SKU_4088,Jacket,Clothing,4,2025-01-02,18.53,CUST_0371,United Kingdom
110519,SKU_4116,Jacket,Clothing,3,2025-01-02,51.38,CUST_1306,France
100846,SKU_2700,Keyboard,Electronics,1,2025-01-02,53.33,CUST_0101,United Kingdom
100846,SKU_1811,Cutting Board,Kitchen,3,2025-01-02,22.03,CUST_0101,United Kingdom
101532,SKU_5412,Mug,Kitchen,4,2025-01-02,22.27,CUST_0185,United Kingdom
107516,SKU_3832,T-Shirt,Clothing,2,2025-01-02,5.2,CUST_0937,United Kingdom
105488,SKU_4750,Rug,Home,1,2025-01-02,63.83,CUST_0682,Belgium
108631,SKU_7548,Notebook,Books,3,2025-01-02,22.73,CUST_1081,United Kingdom
108631,SKU_7460,Tea Set,Kitchen,1,2025-01-02,173.16,CUST_1081,United Kingdom
108631,SKU_5913,Notebook,Books,3,2025-01-02,23.53,CUST_1081,United Kingdom
100370,SKU_3728,Hoodie,Clothing,1,2025-01-02,212.63,CUST_0042,United Kingdom
100370,SKU_4593,Rug,Home,4,2025-01-02,89.91,CUST_0042,United Kingdom
100370,SKU_4685,Apron,Kitchen,1,2025-01-02,115.2,CUST_0042,United Kingdom
105488,SKU_1396,Mug,Kitchen,1,2025-01-02,82.54,CUST_0682,Belgium
105488,SKU_9253,Vase,Home,5,2025-01-02,32.17,CUST_0682,Belgium
108741,SKU_1910,Charger,Electronics,1,2025-01-02,51.73,CUST_1097,Germany
103150,SKU_6189,Pen Set,Books,1,2025-01-02,60.42,CUST_0371,United Kingdom
101532,SKU_8447,Stickers,Books,5,2025-01-02,38.33,CUST_0185,United Kingdom
108631,SKU_7909,Candle Set,Home,3,2025-01-02,88.14,CUST_1081,United Kingdom
108631,SKU_3586,Laptop Stand,Electronics,4,2025-01-02,83.6,CUST_1081,United Kingdom
108631,SKU_9056,Hoodie,Clothing,3,2025-01-02,217.33,CUST_1081,United Kingdom
112314,SKU_1723,USB-C Hub,Electronics,1,2025-01-02,103.19,CUST_1519,France
103075,SKU_5229,Laptop Stand,Electronics,2,2025-01-02,39.99,CUST_0364,United Kingdom
108741,SKU_5470,Jeans,Clothing,1,2025-01-02,49.84,CUST_1097,Germany
108218,SKU_3447,Vase,Home,1,2025-01-02,19.7,CUST_1029,Germany
101532,SKU_1589,Socks,Clothing,2,2025-01-02,10.95,CUST_0185,United Kingdom
102543,SKU_1519,Stickers,Books,1,2025-01-02,45.61,CUST_0309,Italy
103075,SKU_9032,Frame,Home,3,2025-01-02,35.53,CUST_0364,United Kingdom
103075,SKU_4707,Webcam,Electronics,3,2025-01-02,25.21,CUST_0364,United Kingdom
108631,SKU_9946,Socks,Clothing,2,2025-01-02,47.07,CUST_1081,United Kingdom
110519,SKU_8369,Headphones,Electronics,4,2025-01-02,24.85,CUST_1306,France
108218,SKU_9333,Candle Set,Home,4,2025-01-02,37.07,CUST_1029,Germany
110519,SKU_6287,Webcam,Electronics,2,2025-01-02,43.41,CUST_1306,France
108218,SKU_5272,Wireless Mouse,Electronics,4,2025-01-02,94.21,CUST_1029,Germany
103075,SKU_4406,Sneakers,Clothing,2,2025-01-02,36.06,CUST_0364,United Kingdom
104155,SKU_6259,Frame,Home,2,2025-01-02,22.7,CUST_0506,Sweden
107387,SKU_8936,Rug,Home,5,2025-01-02,24.5,CUST_0916,United Kingdom
104449,SKU_7067,Notebook,Books,5,2025-01-02,15.99,CUST_0541,Netherlands
110007,SKU_9254,Socks,Clothing,5,2025-01-02,20.85,CUST_1243,France
104449,SKU_2246,Cushion,Home,4,2025-01-02,96.07,CUST_0541,Netherlands
104814,SKU_7170,Cutting Board,Kitchen,5,2025-01-02,44.07,CUST_0591,United Kingdom
104814,SKU_3686,Bluetooth Speaker,Electronics,2,2025-01-02,91.83,CUST_0591,United Kingdom
104814,SKU_3428,Frame,Home,4,2025-01-02,60.69,CUST_0591,United Kingdom
104814,SKU_9051,Stickers,Books,5,2025-01-02,145.88,CUST_0591,United Kingdom
107903,SKU_6038,Keyboard,Electronics,4,2025-01-02,39.92,CUST_0985,Germany
104814,SKU_9424,Jacket,Clothing,5,2025-01-02,35.71,CUST_0591,United Kingdom
111774,SKU_4828,Mug,Kitchen,1,2025-01-02,33.96,CUST_1459,Portugal
111774,SKU_4899,Bluetooth Speaker,Electronics,5,2025-01-02,66.61,CUST_1459,Portugal
111774,SKU_1592,Candle Set,Home,1,2025-01-02,25.01,CUST_1459,Portugal
111774,SKU_8080,Wireless Mouse,Electronics,3,2025-01-02,44.15,CUST_1459,Portugal
111235,SKU_4736,Candle Set,Home,4,2025-01-02,36.7,CUST_1397,France
111235,SKU_9064,Socks,Clothing,1,2025-01-02,26.12,CUST_1397,France
100731,SKU_6517,Charger,Electronics,3,2025-01-02,43.52,CUST_0081,Spain
115072,SKU_6243,Clock,Home,1,2025-01-02,42.12,CUST_1847,Italy
107933,SKU_1227,Notebook,Books,1,2025-01-02,6.7,CUST_0993,United Kingdom
114407,SKU_9060,Monitor Arm,Electronics,1,2025-01-02,15.26,CUST_1758,United Kingdom
115804,SKU_7957,Wireless Mouse,Electronics,5,2025-01-02,85.33,CUST_1941,United Kingdom
115804,SKU_3294,Tea Set,Kitchen,1,2025-01-02,98.55,CUST_1941,United Kingdom
114430,SKU_2631,Phone Case,Electronics,3,2025-01-02,34.62,CUST_1760,Sweden
112935,SKU_5770,Socks,Clothing,1,2025-01-02,16.59,CUST_1591,Italy
112935,SKU_1306,Sketchbook,Books,1,2025-01-02,17.73,CUST_1591,Italy
106998,SKU_2667,Frame,Home,5,2025-01-02,28.41,CUST_0874,United Kingdom
114407,SKU_8231,Mug,Kitchen,1,2025-01-02,37.08,CUST_1758,United Kingdom
106998,SKU_2575,Candle Set,Home,3,2025-01-02,36.42,CUST_0874,United Kingdom
109890,SKU_9248,Spatula Set,Kitchen,4,2025-01-02,64.93,CUST_1228,Spain
107991,SKU_7952,Jeans,Clothing,3,2025-01-02,63.26,CUST_0996,United Kingdom
107991,SKU_8379,Jeans,Clothing,5,2025-01-02,66.73,CUST_0996,United Kingdom
106998,SKU_8965,Monitor Arm,Electronics,1,2025-01-02,20.4,CUST_0874,United Kingdom
114407,SKU_8255,Pen Set,Books,4,2025-01-02,51.02,CUST_1758,United Kingdom
114971,SKU_3131,Vase,Home,3,2025-01-02,18.79,CUST_1840,Italy
106998,SKU_3666,Sneakers,Clothing,4,2025-01-02,32.6,CUST_0874,United Kingdom
100422,SKU_3452,Jacket,Clothing,2,2025-01-02,48.15,CUST_0050,Other
111369,SKU_4388,Candle Set,Home,1,2025-01-02,22.82,CUST_1416,Other
107362,SKU_9255,T-Shirt,Clothing,5,2025-01-02,4.06,CUST_0915,Germany
100422,SKU_8903,Cap,Clothing,5,2025-01-02,52.93,CUST_0050,Other
100422,SKU_1858,Stickers,Books,3,2025-01-02,212.97,CUST_0050,Other
111808,SKU_4320,Cushion,Home,1,2025-01-02,138.28,CUST_1461,United Kingdom
107387,SKU_4717,Cap,Clothing,2,2025-01-02,16.85,CUST_0916,United Kingdom
100422,SKU_6156,Frame,Home,3,2025-01-02,69.93,CUST_0050,Other
111808,SKU_1230,Phone Case,Electronics,3,2025-01-02,144.91,CUST_1461,United Kingdom
100422,SKU_6789,Phone Case,Electronics,3,2025-01-02,162.57,CUST_0050,Other
107362,SKU_9891,Jacket,Clothing,2,2025-01-02,10.84,CUST_0915,Germany
111808,SKU_6612,Jeans,Clothing,4,2025-01-02,215.24,CUST_1461,United Kingdom
111808,SKU_1337,Wireless Mouse,Electronics,3,2025-01-02,191.76,CUST_1461,United Kingdom
111808,SKU_6528,USB-C Hub,Electronics,5,2025-01-02,216.75,CUST_1461,United Kingdom
104449,SKU_7773,Hoodie,Clothing,1,2025-01-02,165.96,CUST_0541,Netherlands
111808,SKU_4911,Cushion,Home,3,2025-01-02,108.36,CUST_1461,United Kingdom
100422,SKU_3235,Calendar,Books,5,2025-01-02,28.01,CUST_0050,Other
104367,SKU_7257,Sneakers,Clothing,1,2025-01-03,41.43,CUST_0533,Other
109032,SKU_1113,Sneakers,Clothing,2,2025-01-03,31.05,CUST_1124,Belgium
116018,SKU_9839,Apron,Kitchen,5,2025-01-03,72.23,CUST_1971,Italy
104367,SKU_4197,Notebook,Books,4,2025-01-03,11.79,CUST_0533,Other
112715,SKU_9158,Frame,Home,2,2025-01-03,27.39,CUST_1562,Portugal
101813,SKU_1869,Socks,Clothing,1,2025-01-03,24.01,CUST_0218,Spain
101813,SKU_7266,Frame,Home,3,2025-01-03,33.17,CUST_0218,Spain
101813,SKU_3660,Calendar,Books,3,2025-01-03,10.78,CUST_0218,Spain
105764,SKU_9428,Spatula Set,Kitchen,4,2025-01-03,53.48,CUST_0719,United Kingdom
105764,SKU_1269,USB-C Hub,Electronics,5,2025-01-03,124.3,CUST_0719,United Kingdom
100397,SKU_9924,Cushion,Home,1,2025-01-03,43.0,CUST_0047,Spain
101813,SKU_4443,Candle Set,Home,3,2025-01-03,33.25,CUST_0218,Spain
104367,SKU_7645,USB-C Hub,Electronics,4,2025-01-03,116.79,CUST_0533,Other
109032,SKU_3573,Hoodie,Clothing,4,2025-01-03,77.59,CUST_1124,Belgium
107820,SKU_1705,Tea Set,Kitchen,5,2025-01-03,77.07,CUST_0971,Netherlands
108663,SKU_2940,Mug,Kitchen,2,2025-01-03,36.65,CUST_1085,Italy
110761,SKU_4771,USB-C Hub,Electronics,4,2025-01-03,158.62,CUST_1330,Spain
110761,SKU_7403,Spatula Set,Kitchen,5,2025-01-03,116.94,CUST_1330,Spain
113406,SKU_2815,Socks,Clothing,4,2025-01-03,39.82,CUST_1637,United Kingdom
103920,SKU_1644,Calendar,Books,3,2025-01-03,6.38,CUST_0473,United Kingdom
106640,SKU_1665,Notebook,Books,5,2025-01-03,13.43,CUST_0837,Italy
106640,SKU_4925,Wireless Mouse,Electronics,5,2025-01-03,137.99,CUST_0837,Italy
106640,SKU_1904,Cutting Board,Kitchen,2,2025-01-03,44.39,CUST_0837,Italy
106640,SKU_7092,T-Shirt,Clothing,1,2025-01-03,14.06,CUST_0837,Italy
109757,SKU_2465,T-Shirt,Clothing,5,2025-01-03,10.07,CUST_1203,United Kingdom
107984,SKU_9932,Hoodie,Clothing,5,2025-01-03,67.98,CUST_0996,United Kingdom
106640,SKU_1558,Clock,Home,4,2025-01-03,119.55,CUST_0837,Italy
106640,SKU_5458,Pen Set,Books,1,2025-01-03,111.41,CUST_0837,Italy
113406,SKU_9658,Tea Set,Kitchen,2,2025-01-03,126.09,CUST_1637,United Kingdom
110761,SKU_7459,Vase,Home,1,2025-01-03,39.47,CUST_1330,Spain
110761,SKU_8551,Pen Set,Books,4,2025-01-03,124.42,CUST_1330,Spain
115459,SKU_7915,Candle Set,Home,2,2025-01-03,33.67,CUST_1890,France
112715,SKU_7872,Mug,Kitchen,4,2025-01-03,44.69,CUST_1562,Portugal
116018,SKU_8775,Charger,Electronics,5,2025-01-03,107.59,CUST_1971,Italy
115459,SKU_3089,Clock,Home,4,2025-01-03,63.56,CUST_1890,France
102433,SKU_6127,Clock,Home,4,2025-01-03,85.45,CUST_0295,United Kingdom
115459,SKU_2810,Cutting Board,Kitchen,1,2025-01-03,16.55,CUST_1890,France
113361,SKU_3576,Notebook,Books,1,2025-01-03,17.2,CUST_1637,United Kingdom
113406,SKU_1341,Headphones,Electronics,5,2025-01-03,18.6,CUST_1637,United Kingdom
101197,SKU_9985,Phone Case,Electronics,1,2025-01-03,31.08,CUST_0143,United Kingdom
103374,SKU_2517,Cap,Clothing,1,2025-01-03,22.75,CUST_0404,Other
113406,SKU_1035,Monitor Arm,Electronics,3,2025-01-03,27.06,CUST_1637,United Kingdom
103374,SKU_6841,Rug,Home,1,2025-01-03,33.2,CUST_0404,Other
102481,SKU_8143,Apron,Kitchen,5,2025-01-03,54.06,CUST_0300,United Kingdom
113361,SKU_9682,Jacket,Clothing,5,2025-01-03,31.99,CUST_1637,United Kingdom
113361,SKU_8395,Wireless Mouse,Electronics,4,2025-01-03,94.75,CUST_1637,United Kingdom
113361,SKU_7016,Pen Set,Books,3,2025-01-03,97.87,CUST_1637,United Kingdom
108131,SKU_6953,Lamp,Home,4,2025-01-03,93.05,CUST_1015,United Kingdom
108131,SKU_5009,Rug,Home,3,2025-01-03,64.31,CUST_1015,United Kingdom
