客户ID,优先级,流失概率,在网月数,合约类型,月费,历史总消费,上网服务,支付方式,在线安全,技术支持,在线备份,流媒体电视,流媒体电影,老年人,有伴侣,有子女,性别,电子账单
6567-HOOPW,P1-Extreme,95.0%,1,Month-to-month,79.2,79.2,Fiber optic,Electronic check,No,No,No,Yes,No,1,No,No,Female,Yes
4273-MBHYA,P1-Extreme,94.9%,1,Month-to-month,89.35,89.35,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,Yes,Female,Yes
1941-HOSAM,P1-Extreme,94.9%,1,Month-to-month,90.1,90.1,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,Yes,Yes,Male,Yes
1304-NECVQ,P1-Extreme,94.9%,2,Month-to-month,78.55,149.55,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
6474-FVJLC,P1-Extreme,94.9%,2,Month-to-month,86.0,165.45,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Male,Yes
6894-LFHLY,P1-Extreme,94.8%,1,Month-to-month,75.75,75.75,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
1143-NMNQJ,P1-Extreme,94.7%,2,Month-to-month,85.7,169.8,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Female,Yes
2034-GDRCN,P1-Extreme,94.7%,2,Month-to-month,90.4,168.2,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,Yes
9611-CTWIH,P1-Extreme,94.6%,3,Month-to-month,89.45,240.45,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,Yes
4927-WWOOZ,P1-Extreme,94.6%,2,Month-to-month,91.45,171.45,Fiber optic,Electronic check,No,No,No,Yes,No,0,Yes,No,Male,Yes
9248-OJYKK,P1-Extreme,94.6%,1,Month-to-month,76.45,76.45,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
7206-GZCDC,P1-Extreme,94.6%,1,Month-to-month,69.25,69.25,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
8062-YBDOE,P1-Extreme,94.6%,1,Month-to-month,69.65,69.65,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
2506-TNFCO,P1-Extreme,94.6%,1,Month-to-month,69.55,69.55,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Female,Yes
9725-SCPZG,P1-Extreme,94.6%,1,Month-to-month,90.85,90.85,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,Yes,Male,Yes
5539-TMZLF,P1-Extreme,94.5%,1,Month-to-month,69.75,69.75,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
0754-UKWQP,P1-Extreme,94.5%,2,Month-to-month,95.85,197.7,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
2868-MZAGQ,P1-Extreme,94.5%,1,Month-to-month,79.25,79.25,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Male,Yes
2636-ALXXZ,P1-Extreme,94.4%,1,Month-to-month,69.6,69.6,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
8375-DKEBR,P1-Extreme,94.4%,1,Month-to-month,69.6,69.6,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
4871-JTKJF,P1-Extreme,94.4%,1,Month-to-month,69.65,69.65,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
5550-VFRLC,P1-Extreme,94.4%,1,Month-to-month,69.85,69.85,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
7218-HKQFK,P1-Extreme,94.3%,2,Month-to-month,94.2,167.5,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,0,Yes,No,Male,Yes
4929-XIHVW,P1-Extreme,94.3%,2,Month-to-month,95.5,181.65,Fiber optic,Credit card (automatic),No,No,No,Yes,Yes,1,Yes,No,Male,Yes
8000-REIQB,P1-Extreme,94.3%,1,Month-to-month,69.95,69.95,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
0684-AOSIH,P1-Extreme,94.3%,1,Month-to-month,95.0,95.0,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,0,Yes,No,Male,Yes
7398-SKNQZ,P1-Extreme,94.3%,3,Month-to-month,94.9,273.2,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,Yes,No,Female,No
8593-WHYHV,P1-Extreme,94.3%,3,Month-to-month,85.3,264.8,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Male,Yes
9223-UCPVT,P1-Extreme,94.2%,1,Month-to-month,94.4,94.4,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,No
0259-GBZSH,P1-Extreme,94.2%,2,Month-to-month,85.65,181.5,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
1393-IMKZG,P1-Extreme,94.2%,1,Month-to-month,95.85,95.85,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,0,No,No,Female,Yes
0495-RVCBF,P1-Extreme,94.2%,1,Month-to-month,79.7,79.7,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Female,Yes
4844-JJWUY,P1-Extreme,94.2%,1,Month-to-month,86.0,86.0,Fiber optic,Electronic check,No,No,Yes,No,Yes,1,No,No,Female,Yes
8740-CRYFY,P1-Extreme,94.1%,1,Month-to-month,78.95,78.95,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
5960-WPXQM,P1-Extreme,94.1%,1,Month-to-month,79.05,79.05,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
6358-LYNGM,P1-Extreme,94.1%,1,Month-to-month,74.9,74.9,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
4415-IJZTP,P1-Extreme,94.1%,1,Month-to-month,74.5,74.5,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
1157-BQCUW,P1-Extreme,94.0%,1,Month-to-month,74.95,74.95,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
6861-XWTWQ,P1-Extreme,94.0%,7,Month-to-month,99.25,665.45,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Male,Yes
2202-CUYXZ,P1-Extreme,94.0%,1,Month-to-month,84.85,84.85,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
5644-PDMZC,P1-Extreme,94.0%,2,Month-to-month,89.5,161.5,Fiber optic,Electronic check,No,No,Yes,No,Yes,1,No,No,Female,No
1452-VOQCH,P1-Extreme,94.0%,1,Month-to-month,75.1,75.1,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
9546-CQJSU,P1-Extreme,93.9%,2,Month-to-month,91.4,193.6,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Female,Yes
2514-GINMM,P1-Extreme,93.9%,1,Month-to-month,79.5,79.5,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
7120-RFMVS,P1-Extreme,93.9%,1,Month-to-month,84.5,84.5,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,No
9787-XVQIU,P1-Extreme,93.9%,1,Month-to-month,75.3,75.3,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
6457-USBER,P1-Extreme,93.9%,1,Month-to-month,80.8,80.8,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Male,Yes
1761-AEZZR,P1-Extreme,93.9%,1,Month-to-month,79.55,79.55,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
9124-LHCJQ,P1-Extreme,93.9%,1,Month-to-month,85.45,85.45,Fiber optic,Mailed check,No,No,No,No,Yes,0,No,No,Female,Yes
7503-ZGUZJ,P1-Extreme,93.8%,1,Month-to-month,84.65,84.65,Fiber optic,Mailed check,No,No,No,Yes,No,0,No,No,Male,Yes
5834-ASPWA,P1-Extreme,93.8%,1,Month-to-month,75.45,75.45,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
8816-VXNZD,P1-Extreme,93.8%,1,Month-to-month,75.1,75.1,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
6356-ELRKD,P1-Extreme,93.8%,1,Month-to-month,95.6,95.6,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,0,No,No,Female,Yes
1374-DMZUI,P1-Extreme,93.8%,4,Month-to-month,94.3,424.45,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Female,Yes
3006-XIMLN,P1-Extreme,93.7%,2,Month-to-month,94.2,193.8,Fiber optic,Bank transfer (automatic),No,No,No,Yes,Yes,0,No,Yes,Female,Yes
5299-SJCZT,P1-Extreme,93.7%,3,Month-to-month,101.55,298.35,Fiber optic,Bank transfer (automatic),No,No,No,Yes,Yes,0,No,No,Male,Yes
1447-GIQMR,P1-Extreme,93.7%,1,Month-to-month,69.15,69.15,Fiber optic,Electronic check,No,No,No,No,No,0,Yes,No,Male,Yes
8098-LLAZX,P1-Extreme,93.7%,4,Month-to-month,95.45,396.1,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Female,Yes
9300-RENDD,P1-Extreme,93.7%,1,Month-to-month,79.95,79.95,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
8058-INTPH,P1-Extreme,93.7%,1,Month-to-month,79.65,79.65,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Female,Yes
7493-TPUWZ,P1-Extreme,93.7%,1,Month-to-month,79.15,79.15,Fiber optic,Electronic check,No,No,Yes,No,No,0,No,No,Male,Yes
5276-KQWHG,P1-Extreme,93.6%,2,Month-to-month,69.6,131.65,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
3750-CKVKH,P1-Extreme,93.6%,2,Month-to-month,67.75,116.65,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
4806-HIPDW,P1-Extreme,93.6%,1,Month-to-month,68.95,68.95,Fiber optic,Electronic check,No,No,No,No,No,0,Yes,No,Female,Yes
3716-BDVDB,P1-Extreme,93.6%,1,Month-to-month,69.1,69.1,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
2446-BEGGB,P1-Extreme,93.6%,6,Month-to-month,98.25,560.6,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,No,No,Female,Yes
4614-NUVZD,P1-Extreme,93.6%,1,Month-to-month,81.1,81.1,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Female,Yes
0679-IDSTG,P1-Extreme,93.6%,1,Month-to-month,69.25,69.25,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,Yes,Female,Yes
0318-QUUOB,P1-Extreme,93.6%,1,Month-to-month,80.55,80.55,Fiber optic,Electronic check,No,No,No,Yes,No,0,Yes,No,Male,Yes
5597-GLBUC,P1-Extreme,93.6%,1,Month-to-month,85.45,85.45,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Female,Yes
3428-XZMAZ,P1-Extreme,93.5%,1,Month-to-month,69.35,69.35,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
6457-GIRWB,P1-Extreme,93.5%,1,Month-to-month,69.35,69.35,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
1628-BIZYP,P1-Extreme,93.5%,1,Month-to-month,85.0,85.0,Fiber optic,Electronic check,No,No,Yes,No,Yes,0,No,No,Male,Yes
4713-LZDRV,P1-Extreme,93.5%,2,Month-to-month,79.6,195.05,Fiber optic,Electronic check,No,No,No,No,Yes,1,No,No,Female,Yes
7294-TMAOP,P1-Extreme,93.5%,1,Month-to-month,90.55,90.55,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,No
6857-VWJDT,P1-Extreme,93.5%,1,Month-to-month,95.65,95.65,Fiber optic,Mailed check,No,No,No,Yes,Yes,0,No,No,Female,No
5797-APWZC,P1-Extreme,93.5%,1,Month-to-month,90.6,90.6,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,No
7938-OUHIO,P1-Extreme,93.5%,3,Month-to-month,98.7,293.65,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,0,No,No,Male,Yes
3097-NQYSN,P1-Extreme,93.5%,2,Month-to-month,86.85,156.35,Fiber optic,Mailed check,No,No,No,Yes,No,1,Yes,No,Male,Yes
7439-DKZTW,P1-Extreme,93.5%,1,Month-to-month,80.55,80.55,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
8775-ERLNB,P1-Extreme,93.4%,1,Month-to-month,74.3,74.3,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Male,No
1820-TQVEV,P1-Extreme,93.4%,1,Month-to-month,69.55,69.55,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
3318-NMQXL,P1-Extreme,93.4%,3,Month-to-month,92.0,266.8,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
5494-HECPR,P1-Extreme,93.4%,1,Month-to-month,80.25,80.25,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Female,Yes
9728-FTTVZ,P1-Extreme,93.4%,1,Month-to-month,69.2,69.2,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
7660-HDPJV,P1-Extreme,93.4%,1,Month-to-month,69.2,69.2,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
6502-MJQAE,P1-Extreme,93.4%,1,Month-to-month,69.6,69.6,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
7074-IEVOJ,P1-Extreme,93.4%,3,Month-to-month,79.4,205.05,Fiber optic,Electronic check,No,No,Yes,No,No,1,No,No,Female,Yes
7254-IQWOZ,P1-Extreme,93.4%,1,Month-to-month,69.65,69.65,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
9799-CAYJJ,P1-Extreme,93.4%,2,Month-to-month,69.3,153.8,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Female,Yes
4510-HIMLV,P1-Extreme,93.3%,1,Month-to-month,69.8,69.8,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
5167-ZFFMM,P1-Extreme,93.3%,1,Month-to-month,90.85,90.85,Fiber optic,Credit card (automatic),No,No,Yes,No,Yes,0,No,No,Male,Yes
4603-JANFB,P1-Extreme,93.3%,1,Month-to-month,69.85,69.85,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
7903-CMPEY,P1-Extreme,93.3%,1,Month-to-month,80.3,80.3,Fiber optic,Electronic check,Yes,No,No,No,No,1,Yes,No,Male,Yes
0488-GSLFR,P1-Extreme,93.3%,1,Month-to-month,69.5,69.5,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
9804-ICWBG,P1-Extreme,93.3%,1,Month-to-month,69.9,69.9,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
5875-YPQFJ,P1-Extreme,93.3%,1,Month-to-month,69.9,69.9,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
5542-TBBWB,P1-Extreme,93.3%,1,Month-to-month,69.9,69.9,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
5052-PNLOS,P1-Extreme,93.3%,3,Month-to-month,105.35,323.25,Fiber optic,Bank transfer (automatic),No,No,Yes,Yes,Yes,0,No,No,Male,Yes
7665-TOALD,P1-Extreme,93.2%,1,Month-to-month,69.6,69.6,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
2004-OCQXK,P1-Extreme,93.2%,1,Month-to-month,81.95,81.95,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Female,Yes
4086-YQSNZ,P1-Extreme,93.2%,3,Month-to-month,80.4,224.05,Fiber optic,Electronic check,No,No,No,Yes,No,1,Yes,No,Female,Yes
7180-PISOG,P1-Extreme,93.2%,1,Month-to-month,74.5,74.5,Fiber optic,Electronic check,No,No,No,No,No,0,Yes,Yes,Male,Yes
9885-CSMWE,P1-Extreme,93.2%,1,Month-to-month,78.45,78.45,Fiber optic,Electronic check,No,No,No,Yes,No,1,No,No,Female,No
5349-IECLD,P1-Extreme,93.1%,2,Month-to-month,94.95,178.1,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,No
8372-JUXUI,P1-Extreme,93.1%,1,Month-to-month,74.35,74.35,Fiber optic,Electronic check,No,No,No,No,No,0,No,Yes,Male,Yes
2265-CYWIV,P1-Extreme,93.1%,4,Month-to-month,99.6,347.65,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,1,Yes,No,Female,Yes
2982-IHMFT,P1-Extreme,93.1%,1,Month-to-month,74.45,74.45,Fiber optic,Mailed check,No,No,No,No,No,1,No,No,Female,Yes
6630-UJZMY,P1-Extreme,93.1%,4,Month-to-month,83.25,308.05,Fiber optic,Electronic check,No,No,No,Yes,No,1,Yes,No,Female,Yes
7594-RQHXR,P1-Extreme,93.0%,1,Month-to-month,79.6,79.6,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,Yes,Female,Yes
1363-TXLSL,P1-Extreme,93.0%,1,Month-to-month,70.3,70.3,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Male,Yes
9603-OAIHC,P1-Extreme,93.0%,1,Month-to-month,70.05,70.05,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
7576-OYWBN,P1-Extreme,93.0%,3,Month-to-month,76.05,231.8,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
0220-EBGCE,P1-Extreme,93.0%,2,Month-to-month,85.85,167.3,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Male,Yes
1977-STDKI,P1-Extreme,93.0%,1,Month-to-month,73.0,73.0,Fiber optic,Electronic check,No,No,Yes,No,No,1,No,No,Female,Yes
4140-MUHUG,P1-Extreme,92.9%,3,Month-to-month,86.85,220.95,Fiber optic,Electronic check,No,No,No,Yes,No,1,No,No,Female,Yes
2609-IAICY,P1-Extreme,92.9%,1,Month-to-month,77.15,77.15,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
2880-FPNAE,P1-Extreme,92.8%,2,Month-to-month,74.2,140.1,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Male,Yes
1846-XWOQN,P1-Extreme,92.8%,1,Month-to-month,70.15,70.15,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
6416-TVAIH,P1-Extreme,92.8%,1,Month-to-month,68.5,68.5,Fiber optic,Electronic check,No,No,No,No,No,0,Yes,Yes,Male,Yes
