InvoiceNo,InvoiceDate,CustomerID,Country,StockCode,Description,Quantity,UnitPrice,TotalPrice
1011,2011-03-11,4,UK,P4697,Electronics,5,237.77,1188.8500000000001
1011,2011-03-11,4,UK,P8253,Sports,4,65.43,261.72
1012,2011-05-08,5,UK,P2625,Sports,-5,88.31,441.55
1012,2011-05-08,5,UK,P2330,Clothing,2,11.91,23.82
1012,2011-05-08,5,UK,P2229,Clothing,2,88.72,177.44
1013,2011-02-28,5,UK,P8699,Books,4,57.6,230.4
1014,2011-05-13,6,UK,P4241,Clothing,3,53.19,159.57
1015,2011-05-05,6,UK,P5352,Sports,2,66.48,132.96
1016,2011-02-22,6,UK,P5728,Electronics,2,88.63,177.26
1017,2011-05-09,6,UK,P5460,Books,3,98.57,295.71
1018,2011-05-25,6,UK,P1653,Books,-4,79.14,316.56
1018,2011-05-25,6,UK,P1423,Books,3,47.6,142.8
1018,2011-05-25,6,UK,P1339,Electronics,2,147.16,294.32
1018,2011-05-25,6,UK,P3870,Home,-5,76.38,381.9
1018,2011-05-25,6,UK,P5557,Books,5,31.49,157.45
1019,2011-03-04,6,UK,P8700,Books,4,19.94,79.76
1019,2011-03-04,6,UK,P2713,Home,4,41.92,167.68
1019,2011-03-04,6,UK,P9117,Clothing,3,35.85,107.55000000000001
1019,2011-03-04,6,UK,P1601,Home,4,36.67,146.68
1019,2011-03-04,6,UK,P6296,Books,1,31.02,31.02
1020,2011-05-27,7,UK,P4073,Sports,4,11.61,46.44
1021,2011-05-28,7,UK,P1845,Sports,4,98.9,395.6
1021,2011-05-28,7,UK,P5719,Clothing,3,48.5,145.5
1021,2011-05-28,7,UK,P4920,Books,4,44.59,178.36
1022,2011-02-25,7,UK,P2527,Sports,1,71.17,71.17
1022,2011-02-25,7,UK,P2924,Clothing,1,29.64,29.64
1022,2011-02-25,7,UK,P5781,Clothing,4,95.5,382.0
1023,2011-03-20,8,France,P3369,Books,4,47.58,190.32
1023,2011-03-20,8,France,P9327,Books,2,89.12,178.24
1023,2011-03-20,8,France,P7798,Clothing,1,95.03,95.03
1023,2011-03-20,8,France,P1042,Home,5,52.07,260.35
1024,2011-03-23,8,France,P9022,Sports,5,65.21,326.04999999999995
1024,2011-03-23,8,France,P6654,Clothing,4,25.03,100.12
1024,2011-03-23,8,France,P7180,Home,5,99.21,496.04999999999995
1025,2011-04-07,9,UK,P7730,Sports,4,56.14,224.56
1025,2011-04-07,9,UK,P7246,Electronics,3,109.98,329.94
1026,2011-05-27,9,UK,P6439,Books,1,25.89,25.89
1026,2011-05-27,9,UK,P8486,Electronics,-4,107.99,431.96
1027,2011-02-21,9,UK,P5342,Books,-2,26.78,53.56
1027,2011-02-21,9,UK,P2315,Home,5,80.16,400.79999999999995
1028,2011-05-13,9,UK,P8994,Books,3,41.51,124.53
1028,2011-05-13,9,UK,P4846,Sports,1,15.21,15.21
1028,2011-05-13,9,UK,P8110,Home,2,97.22,194.44
1028,2011-05-13,9,UK,P5906,Electronics,1,237.34,237.34
1028,2011-05-13,9,UK,P1919,Electronics,1,245.91,245.91
1029,2011-04-13,10,Germany,P3950,Sports,4,78.24,312.96
1029,2011-04-13,10,Germany,P7267,Clothing,-2,72.64,145.28
1030,2011-06-15,10,Germany,P8555,Books,5,23.85,119.25
1030,2011-06-15,10,Germany,P1153,Home,4,83.42,333.68
1031,2011-05-07,10,Germany,P6661,Sports,-2,30.2,60.4
1031,2011-05-07,10,Germany,P7951,Sports,3,30.14,90.42
1031,2011-05-07,10,Germany,P4263,Home,4,58.33,233.32
1032,2011-03-13,11,UK,P5847,Books,5,63.36,316.8
1032,2011-03-13,11,UK,P7484,Home,1,62.21,62.21
1033,2011-07-12,12,Netherlands,P5689,Sports,4,88.97,355.88
1034,2011-04-27,13,France,P3240,Clothing,2,33.9,67.8
1034,2011-04-27,13,France,P8222,Electronics,1,90.26,90.26
1034,2011-04-27,13,France,P3153,Electronics,5,238.31,1191.55
1035,2011-05-22,14,UK,P6994,Clothing,2,46.76,93.52
1035,2011-05-22,14,UK,P3695,Sports,5,43.54,217.7
1036,2011-04-11,14,UK,P8673,Home,3,33.38,100.14000000000001
1036,2011-04-11,14,UK,P4696,Electronics,2,206.07,412.14
1036,2011-04-11,14,UK,P7464,Books,5,54.63,273.15000000000003
1036,2011-04-11,14,UK,P8451,Electronics,3,80.8,242.39999999999998
1037,2011-05-10,14,UK,P7086,Sports,4,29.82,119.28
1037,2011-05-10,14,UK,P6374,Electronics,2,198.24,396.48
1037,2011-05-10,14,UK,P8606,Sports,2,16.85,33.7
1038,2011-08-03,14,UK,P1609,Books,1,86.61,86.61
1038,2011-08-03,14,UK,P4846,Home,4,54.56,218.24
1038,2011-08-03,14,UK,P7078,Sports,2,53.25,106.5
1039,2011-07-26,14,UK,P3531,Books,5,63.32,316.6
1039,2011-07-26,14,UK,P7686,Books,1,84.22,84.22
1039,2011-07-26,14,UK,P4559,Home,1,41.3,41.3
1039,2011-07-26,14,UK,P6942,Books,4,71.02,284.08
1039,2011-07-26,14,UK,P6876,Electronics,3,175.32,525.96
1040,2011-02-20,14,UK,P8450,Home,2,34.03,68.06
1040,2011-02-20,14,UK,P1349,Electronics,2,89.08,178.16
1040,2011-02-20,14,UK,P3063,Electronics,3,81.77,245.31
1040,2011-02-20,14,UK,P4394,Sports,-2,69.26,138.52
1041,2011-03-07,15,UK,P3370,Clothing,-5,77.74,388.7
1041,2011-03-07,15,UK,P3858,Clothing,5,24.27,121.35
1041,2011-03-07,15,UK,P6869,Electronics,1,236.77,236.77
1042,2011-03-08,15,UK,P1858,Home,1,88.47,88.47
1042,2011-03-08,15,UK,P2041,Clothing,4,12.63,50.52
1042,2011-03-08,15,UK,P9408,Books,4,84.32,337.28
1042,2011-03-08,15,UK,P4629,Sports,1,21.6,21.6
1042,2011-03-08,15,UK,P9543,Sports,1,40.16,40.16
1043,2011-03-25,15,UK,P7580,Electronics,1,209.98,209.98
1043,2011-03-25,15,UK,P8267,Books,1,24.47,24.47
1043,2011-03-25,15,UK,P3430,Electronics,1,224.5,224.5
1043,2011-03-25,15,UK,P9984,Electronics,2,227.27,454.54
1044,2011-03-31,15,UK,P9282,Sports,5,55.67,278.35
1044,2011-03-31,15,UK,P2874,Sports,-4,10.57,42.28
1044,2011-03-31,15,UK,P4743,Sports,2,35.83,71.66
1044,2011-03-31,15,UK,P7532,Books,3,65.52,196.56
1045,2011-04-23,15,UK,P7132,Books,3,98.31,294.93
1045,2011-04-23,15,UK,P2398,Clothing,-4,66.86,267.44
1045,2011-04-23,15,UK,P7105,Electronics,-4,115.66,462.64
1046,2011-02-09,15,UK,P6400,Electronics,5,67.06,335.3
1046,2011-02-09,15,UK,P7929,Electronics,4,58.6,234.4
1046,2011-02-09,15,UK,P6761,Electronics,3,80.19,240.57
1046,2011-02-09,15,UK,P3535,Electronics,5,19.63,98.14999999999999
1046,2011-02-09,15,UK,P6736,Books,2,78.49,156.98
1047,2011-05-29,15,UK,P8030,Electronics,3,170.55,511.65000000000003
1047,2011-05-29,15,UK,P1430,Sports,5,96.67,483.35
1047,2011-05-29,15,UK,P5477,Sports,-3,40.77,122.31
1048,2011-05-05,16,UK,P7566,Electronics,2,188.36,376.72
1048,2011-05-05,16,UK,P1502,Electronics,2,246.75,493.5
1048,2011-05-05,16,UK,P7878,Electronics,5,84.99,424.95
1049,2011-06-04,16,UK,P6314,Clothing,3,94.35,283.04999999999995
1049,2011-06-04,16,UK,P1861,Sports,-5,71.91,359.54999999999995
1049,2011-06-04,16,UK,P1815,Clothing,2,16.11,32.22
1050,2011-07-30,16,UK,P8957,Home,4,37.09,148.36
1051,2011-03-25,17,UK,P5640,Electronics,3,178.52,535.5600000000001
1051,2011-03-25,17,UK,P6053,Sports,4,41.13,164.52
1051,2011-03-25,17,UK,P1897,Electronics,2,186.08,372.16
1051,2011-03-25,17,UK,P4460,Electronics,2,73.92,147.84
1051,2011-03-25,17,UK,P2965,Clothing,3,88.44,265.32
1052,2011-01-30,17,UK,P9725,Books,2,97.61,195.22
1052,2011-01-30,17,UK,P6802,Clothing,5,97.2,486.0
1052,2011-01-30,17,UK,P1693,Electronics,4,77.47,309.88
1052,2011-01-30,17,UK,P2275,Books,1,21.71,21.71
1053,2011-04-19,17,UK,P7636,Books,4,78.24,312.96
1053,2011-04-19,17,UK,P8538,Electronics,3,69.79,209.37
1053,2011-04-19,17,UK,P2734,Home,1,11.99,11.99
1053,2011-04-19,17,UK,P9584,Clothing,4,39.12,156.48
1053,2011-04-19,17,UK,P6562,Electronics,4,160.29,641.16
1054,2011-01-23,18,UK,P6724,Electronics,5,99.74,498.7
1054,2011-01-23,18,UK,P3399,Home,2,48.36,96.72
1054,2011-01-23,18,UK,P3504,Home,2,50.62,101.24
1054,2011-01-23,18,UK,P9095,Electronics,2,24.73,49.46
1054,2011-01-23,18,UK,P8354,Books,5,81.53,407.65
1055,2011-06-27,18,UK,P6179,Sports,3,72.43,217.29000000000002
1055,2011-06-27,18,UK,P8245,Clothing,-4,29.87,119.48
1055,2011-06-27,18,UK,P6766,Home,3,17.41,52.230000000000004
1055,2011-06-27,18,UK,P8404,Sports,1,71.24,71.24
1055,2011-06-27,18,UK,P5703,Electronics,1,192.63,192.63
1056,2011-01-23,18,UK,P8581,Sports,5,34.59,172.95000000000002
1057,2011-06-01,18,UK,P4084,Electronics,4,250.42,1001.68
1057,2011-06-01,18,UK,P3471,Home,5,23.6,118.0
1057,2011-06-01,18,UK,P6626,Electronics,4,149.31,597.24
1057,2011-06-01,18,UK,P1641,Electronics,5,249.01,1245.05
1057,2011-06-01,18,UK,P9586,Clothing,4,47.78,191.12
1058,2011-04-08,19,UK,P1857,Books,3,98.56,295.68
1058,2011-04-08,19,UK,P7333,Home,1,46.84,46.84
1058,2011-04-08,19,UK,P3463,Home,3,90.47,271.40999999999997
1058,2011-04-08,19,UK,P3317,Home,1,30.7,30.7
1059,2011-04-02,19,UK,P2388,Clothing,5,29.18,145.9
1059,2011-04-02,19,UK,P6381,Home,5,12.8,64.0
1059,2011-04-02,19,UK,P7937,Clothing,-5,68.65,343.25
1059,2011-04-02,19,UK,P6060,Sports,-3,43.17,129.51
1060,2011-02-18,19,UK,P3253,Home,4,87.79,351.16
1060,2011-02-18,19,UK,P2657,Clothing,1,52.59,52.59
1061,2011-05-21,20,UK,P7172,Home,5,79.38,396.9
1062,2011-02-15,20,UK,P3712,Clothing,5,86.03,430.15
1062,2011-02-15,20,UK,P4891,Books,1,78.49,78.49
1063,2011-04-30,20,UK,P8684,Clothing,5,66.36,331.8
1063,2011-04-30,20,UK,P8218,Clothing,3,21.81,65.42999999999999
1063,2011-04-30,20,UK,P9239,Books,3,12.93,38.79
1063,2011-04-30,20,UK,P4271,Sports,4,92.88,371.52
1064,2011-06-10,20,UK,P7081,Home,1,65.5,65.5
1064,2011-06-10,20,UK,P9452,Sports,1,81.69,81.69
1065,2011-02-25,21,UK,P8167,Books,5,53.34,266.70000000000005
1065,2011-02-25,21,UK,P6727,Electronics,2,20.56,41.12
1065,2011-02-25,21,UK,P9224,Electronics,-4,21.27,85.08
1066,2011-02-04,21,UK,P2623,Clothing,1,71.7,71.7
1066,2011-02-04,21,UK,P5700,Home,2,48.73,97.46
1066,2011-02-04,21,UK,P8685,Books,2,28.05,56.1
1067,2011-02-05,22,UK,P9991,Home,2,62.38,124.76
1068,2011-06-20,22,UK,P4893,Books,1,34.21,34.21
1068,2011-06-20,22,UK,P7878,Home,-1,81.78,81.78
1068,2011-06-20,22,UK,P9189,Sports,-4,37.93,151.72
1068,2011-06-20,22,UK,P9443,Sports,-5,50.97,254.85
1068,2011-06-20,22,UK,P5772,Sports,2,11.05,22.1
1069,2011-05-05,22,UK,P7825,Sports,3,16.52,49.56
1070,2011-06-17,23,UK,P9316,Electronics,5,121.87,609.35
1070,2011-06-17,23,UK,P8702,Sports,1,72.55,72.55
1070,2011-06-17,23,UK,P5155,Electronics,4,232.72,930.88
1071,2011-02-07,23,UK,P2698,Electronics,3,80.19,240.57
1071,2011-02-07,23,UK,P6772,Sports,3,13.57,40.71
1071,2011-02-07,23,UK,P3868,Sports,3,53.25,159.75
1072,2011-07-28,23,UK,P2033,Books,2,19.44,38.88
1072,2011-07-28,23,UK,P1717,Books,1,31.78,31.78
1072,2011-07-28,23,UK,P6080,Clothing,1,98.8,98.8
1072,2011-07-28,23,UK,P9897,Sports,4,22.82,91.28
1073,2011-07-24,24,UK,P1783,Home,3,10.88,32.64
1073,2011-07-24,24,UK,P7029,Home,3,39.38,118.14000000000001
1074,2011-05-31,24,UK,P4060,Books,4,56.59,226.36
1074,2011-05-31,24,UK,P9507,Books,4,17.91,71.64
1074,2011-05-31,24,UK,P2293,Home,1,41.56,41.56
1074,2011-05-31,24,UK,P3956,Books,5,12.99,64.95
1075,2011-06-28,24,UK,P5843,Home,-1,17.07,17.07
1075,2011-06-28,24,UK,P7981,Home,4,45.72,182.88
1075,2011-06-28,24,UK,P1693,Clothing,4,21.94,87.76
1076,2011-05-10,24,UK,P1939,Books,3,61.08,183.24
1076,2011-05-10,24,UK,P3621,Electronics,4,199.45,797.8
1076,2011-05-10,24,UK,P8179,Electronics,2,221.11,442.22
1076,2011-05-10,24,UK,P7001,Electronics,-2,104.03,208.06
1076,2011-05-10,24,UK,P1530,Home,4,25.07,100.28
1077,2011-04-07,25,UK,P7521,Sports,2,67.28,134.56
1078,2011-03-24,25,UK,P4048,Clothing,-1,73.58,73.58
1078,2011-03-24,25,UK,P2929,Books,5,12.84,64.2
1078,2011-03-24,25,UK,P4515,Home,3,94.26,282.78000000000003
1079,2011-06-08,25,UK,P2213,Books,2,14.68,29.36
1079,2011-06-08,25,UK,P8292,Books,2,58.72,117.44
1079,2011-06-08,25,UK,P2063,Electronics,3,203.27,609.8100000000001
1080,2011-04-21,26,Germany,P2988,Clothing,3,90.53,271.59000000000003
1080,2011-04-21,26,Germany,P9094,Clothing,2,59.28,118.56
1081,2011-02-12,26,Germany,P3126,Sports,5,83.56,417.8
1081,2011-02-12,26,Germany,P7523,Sports,-1,50.71,50.71
1081,2011-02-12,26,Germany,P7708,Books,5,67.92,339.6
1082,2011-07-03,26,Germany,P8372,Clothing,3,57.38,172.14000000000001
1083,2011-06-05,26,Germany,P3981,Home,2,75.84,151.68
1083,2011-06-05,26,Germany,P1907,Clothing,4,17.35,69.4
1083,2011-06-05,26,Germany,P3697,Electronics,5,76.77,383.84999999999997
1083,2011-06-05,26,Germany,P4694,Clothing,3,32.24,96.72
1083,2011-06-05,26,Germany,P2292,Home,5,24.36,121.8
1084,2011-06-27,26,Germany,P2530,Clothing,3,88.46,265.38
1084,2011-06-27,26,Germany,P3526,Sports,2,29.73,59.46
1084,2011-06-27,26,Germany,P6531,Clothing,5,97.83,489.15
1085,2011-01-21,27,UK,P4453,Electronics,5,40.32,201.6
1086,2011-06-09,27,UK,P9938,Sports,1,26.39,26.39
1086,2011-06-09,27,UK,P7653,Home,3,81.07,243.20999999999998
1086,2011-06-09,27,UK,P1981,Home,-4,69.28,277.12
1086,2011-06-09,27,UK,P8609,Clothing,4,54.84,219.36
1087,2011-03-07,27,UK,P6231,Sports,2,59.98,119.96
1087,2011-03-07,27,UK,P7070,Home,4,74.73,298.92
1087,2011-03-07,27,UK,P4960,Sports,5,30.56,152.79999999999998
1088,2011-02-28,28,UK,P3616,Books,5,71.22,356.1
1088,2011-02-28,28,UK,P4110,Home,5,16.5,82.5
1088,2011-02-28,28,UK,P8648,Clothing,4,12.76,51.04
1089,2011-06-23,28,UK,P7442,Books,-1,33.19,33.19
1089,2011-06-23,28,UK,P4524,Sports,4,51.64,206.56
1089,2011-06-23,28,UK,P5609,Sports,-3,88.14,264.42
1090,2011-06-22,28,UK,P2761,Books,3,75.45,226.35000000000002
1090,2011-06-22,28,UK,P6992,Books,2,76.84,153.68
1090,2011-06-22,28,UK,P1838,Books,-3,48.29,144.87
1090,2011-06-22,28,UK,P5728,Sports,5,41.13,205.65
1090,2011-06-22,28,UK,P5582,Electronics,4,137.35,549.4
1091,2011-07-18,29,UK,P6555,Clothing,1,98.89,98.89
1092,2011-07-04,29,UK,P7576,Clothing,2,13.61,27.22
1092,2011-07-04,29,UK,P3245,Sports,-1,88.03,88.03
1092,2011-07-04,29,UK,P3440,Home,4,62.08,248.32
1093,2011-07-17,29,UK,P6218,Clothing,3,49.48,148.44
1093,2011-07-17,29,UK,P5902,Clothing,4,75.27,301.08
1093,2011-07-17,29,UK,P9351,Sports,3,53.8,161.39999999999998
1093,2011-07-17,29,UK,P5911,Sports,4,88.61,354.44
1093,2011-07-17,29,UK,P2795,Books,1,91.06,91.06
1094,2011-08-10,30,UK,P4728,Sports,4,47.95,191.8
1095,2011-02-28,30,UK,P7229,Books,2,34.91,69.82
1095,2011-02-28,30,UK,P2800,Clothing,-2,63.31,126.62
1095,2011-02-28,30,UK,P7861,Clothing,1,92.11,92.11
1095,2011-02-28,30,UK,P7723,Clothing,4,28.96,115.84
1095,2011-02-28,30,UK,P2020,Sports,5,66.07,330.34999999999997
1096,2011-03-22,30,UK,P8837,Clothing,5,66.84,334.20000000000005
1096,2011-03-22,30,UK,P3837,Sports,4,75.98,303.92
1096,2011-03-22,30,UK,P6804,Books,5,21.84,109.2
1096,2011-03-22,30,UK,P5038,Home,5,74.42,372.1
1096,2011-03-22,30,UK,P5876,Home,5,91.81,459.05
1097,2011-07-31,31,UK,P5480,Home,4,26.17,104.68
1097,2011-07-31,31,UK,P9899,Home,1,31.38,31.38
1097,2011-07-31,31,UK,P3399,Books,4,97.43,389.72
1097,2011-07-31,31,UK,P2294,Home,1,26.29,26.29
1098,2011-05-04,31,UK,P9824,Home,4,86.89,347.56
1098,2011-05-04,31,UK,P3249,Home,5,54.31,271.55
1098,2011-05-04,31,UK,P4920,Electronics,5,113.21,566.05
1098,2011-05-04,31,UK,P9700,Clothing,1,88.37,88.37
1099,2011-04-03,31,UK,P8739,Electronics,4,151.83,607.32
1100,2011-01-29,32,UK,P8793,Clothing,4,24.72,98.88
1100,2011-01-29,32,UK,P5706,Books,2,45.2,90.4
1100,2011-01-29,32,UK,P2465,Home,3,97.25,291.75
1100,2011-01-29,32,UK,P1611,Sports,2,33.23,66.46
1100,2011-01-29,32,UK,P3880,Clothing,4,69.11,276.44
1101,2011-02-06,32,UK,P5742,Books,2,39.27,78.54
1101,2011-02-06,32,UK,P2758,Electronics,1,79.61,79.61
1101,2011-02-06,32,UK,P9901,Home,3,21.78,65.34
1101,2011-02-06,32,UK,P3198,Sports,4,97.28,389.12
1102,2011-06-06,32,UK,P6417,Home,2,50.84,101.68
1102,2011-06-06,32,UK,P4050,Clothing,4,31.24,124.96
1102,2011-06-06,32,UK,P4164,Electronics,3,79.33,237.99
1102,2011-06-06,32,UK,P7643,Clothing,5,25.28,126.4
1103,2011-02-07,33,UK,P8822,Electronics,2,56.78,113.56
1103,2011-02-07,33,UK,P7284,Home,-2,40.33,80.66
1103,2011-02-07,33,UK,P6400,Clothing,4,84.6,338.4
1103,2011-02-07,33,UK,P1187,Home,5,48.78,243.9
1104,2011-03-23,33,UK,P8625,Clothing,1,32.38,32.38
1104,2011-03-23,33,UK,P9233,Home,2,65.54,131.08
1104,2011-03-23,33,UK,P5833,Home,1,73.61,73.61
1105,2011-04-20,33,UK,P7121,Clothing,4,25.03,100.12
1105,2011-04-20,33,UK,P9806,Books,5,25.09,125.45
1106,2011-03-26,34,Netherlands,P9653,Sports,1,13.3,13.3
1106,2011-03-26,34,Netherlands,P2838,Home,1,76.28,76.28
1107,2011-06-28,35,Netherlands,P3695,Clothing,5,88.14,440.7
1107,2011-06-28,35,Netherlands,P4365,Home,5,28.53,142.65
1107,2011-06-28,35,Netherlands,P9361,Sports,-4,20.07,80.28
1107,2011-06-28,35,Netherlands,P9409,Books,1,34.28,34.28
1107,2011-06-28,35,Netherlands,P8575,Books,4,15.14,60.56
1108,2011-07-30,35,Netherlands,P1049,Electronics,4,168.58,674.32
1108,2011-07-30,35,Netherlands,P7941,Clothing,-5,94.29,471.45000000000005
1108,2011-07-30,35,Netherlands,P1987,Home,1,13.54,13.54
1109,2011-02-25,35,Netherlands,P3218,Electronics,3,20.99,62.97
1109,2011-02-25,35,Netherlands,P7266,Books,3,50.7,152.10000000000002
1109,2011-02-25,35,Netherlands,P9835,Books,4,94.05,376.2
1109,2011-02-25,35,Netherlands,P9802,Clothing,3,38.45,115.35000000000001
1110,2011-05-19,35,Netherlands,P1372,Clothing,2,55.65,111.3
1110,2011-05-19,35,Netherlands,P9920,Home,4,13.74,54.96
1110,2011-05-19,35,Netherlands,P4762,Books,5,23.35,116.75
1110,2011-05-19,35,Netherlands,P5516,Clothing,4,98.8,395.2
1110,2011-05-19,35,Netherlands,P7868,Clothing,-1,96.86,96.86
1111,2011-07-15,35,Netherlands,P1550,Clothing,-2,10.44,20.88
1112,2011-07-10,36,France,P4839,Clothing,1,54.0,54.0
1113,2011-06-06,36,France,P5739,Electronics,2,195.04,390.08
1113,2011-06-06,36,France,P6253,Clothing,5,22.57,112.85
1114,2011-03-20,36,France,P5923,Clothing,5,12.7,63.5
1114,2011-03-20,36,France,P3869,Home,1,37.71,37.71
1114,2011-03-20,36,France,P6642,Books,5,73.42,367.1
1115,2011-07-02,36,France,P7688,Sports,3,28.17,84.51
1115,2011-07-02,36,France,P9813,Clothing,3,70.61,211.82999999999998
1115,2011-07-02,36,France,P5927,Books,2,97.29,194.58
1115,2011-07-02,36,France,P7761,Clothing,4,18.45,73.8
1116,2011-05-05,36,France,P5177,Sports,2,70.53,141.06
1116,2011-05-05,36,France,P8369,Clothing,3,49.94,149.82
1116,2011-05-05,36,France,P4120,Home,1,88.13,88.13
1116,2011-05-05,36,France,P1647,Electronics,3,99.54,298.62
1116,2011-05-05,36,France,P4555,Electronics,2,200.06,400.12
1117,2011-05-18,37,UK,P2922,Electronics,2,70.93,141.86
1117,2011-05-18,37,UK,P4350,Books,2,93.79,187.58
1117,2011-05-18,37,UK,P5637,Books,2,72.06,144.12
1118,2011-05-30,37,UK,P6892,Sports,3,70.89,212.67000000000002
1118,2011-05-30,37,UK,P8692,Sports,4,29.41,117.64
1118,2011-05-30,37,UK,P7781,Home,2,69.3,138.6
1118,2011-05-30,37,UK,P3390,Electronics,5,141.8,709.0
1119,2011-02-26,37,UK,P7841,Sports,5,68.61,343.05
1119,2011-02-26,37,UK,P4768,Home,2,19.59,39.18
1119,2011-02-26,37,UK,P9180,Books,5,69.21,346.04999999999995
1120,2011-07-12,37,UK,P9037,Home,4,99.95,399.8
1120,2011-07-12,37,UK,P6770,Books,2,14.34,28.68
1120,2011-07-12,37,UK,P9000,Clothing,2,97.95,195.9
1121,2011-04-10,37,UK,P2217,Electronics,-5,144.35,721.75
1121,2011-04-10,37,UK,P4791,Electronics,1,234.8,234.8
1121,2011-04-10,37,UK,P9285,Electronics,-2,217.57,435.14
1121,2011-04-10,37,UK,P8916,Books,-3,61.03,183.09
1121,2011-04-10,37,UK,P7739,Books,-1,76.46,76.46
1122,2011-02-25,37,UK,P5697,Sports,3,89.07,267.21
1123,2011-02-26,37,UK,P2578,Books,2,46.37,92.74
1123,2011-02-26,37,UK,P9625,Sports,2,39.43,78.86
1123,2011-02-26,37,UK,P7502,Home,3,70.08,210.24
1123,2011-02-26,37,UK,P8520,Electronics,3,82.71,248.13
1123,2011-02-26,37,UK,P4700,Sports,2,78.61,157.22
1124,2011-03-18,38,UK,P8798,Electronics,4,171.18,684.72
1125,2011-03-12,38,UK,P8109,Clothing,1,10.52,10.52
1126,2011-08-10,38,UK,P1697,Sports,1,39.21,39.21
1126,2011-08-10,38,UK,P8790,Clothing,2,42.98,85.96
1126,2011-08-10,38,UK,P5593,Home,1,45.66,45.66
1127,2011-07-15,38,UK,P6152,Electronics,2,200.62,401.24
1127,2011-07-15,38,UK,P7525,Electronics,2,140.77,281.54
1127,2011-07-15,38,UK,P4939,Electronics,3,152.5,457.5
1127,2011-07-15,38,UK,P9856,Sports,4,31.38,125.52
1127,2011-07-15,38,UK,P3292,Home,4,43.59,174.36
1128,2011-01-22,39,UK,P4803,Home,-1,30.45,30.45
1128,2011-01-22,39,UK,P7499,Electronics,3,16.59,49.769999999999996
1128,2011-01-22,39,UK,P8381,Home,1,64.31,64.31
1128,2011-01-22,39,UK,P7150,Books,2,70.14,140.28
1128,2011-01-22,39,UK,P7227,Books,2,65.75,131.5
1129,2011-01-23,39,UK,P2344,Home,2,51.71,103.42
1129,2011-01-23,39,UK,P3527,Home,2,44.18,88.36
1129,2011-01-23,39,UK,P2499,Books,3,87.7,263.1
1129,2011-01-23,39,UK,P5419,Electronics,3,56.72,170.16
1129,2011-01-23,39,UK,P8061,Electronics,-2,53.13,106.26
1130,2011-04-26,39,UK,P6798,Books,-1,12.31,12.31
1130,2011-04-26,39,UK,P6315,Sports,1,40.71,40.71
1130,2011-04-26,39,UK,P7353,Books,1,44.22,44.22
1130,2011-04-26,39,UK,P4977,Electronics,5,142.77,713.85
1130,2011-04-26,39,UK,P7237,Sports,5,62.22,311.1
1131,2011-04-28,40,UK,P5911,Clothing,4,27.62,110.48
1132,2011-06-22,40,UK,P9123,Home,3,10.68,32.04
1133,2011-07-21,40,UK,P5991,Clothing,4,68.27,273.08
